Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,35.72278,-83.8175,,,,,,
Cottus_carolinae,Cottus,carolinae,35.72278,-83.8175,,,,,,
Cottus_carolinae,Cottus,carolinae,35.72278,-83.8175,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7536,-83.8413,,,,,,
Cottus_carolinae,Cottus,carolinae,35.77167,-83.84306,,,,,,
Cottus_carolinae,Cottus,carolinae,34.92056,-83.855,,,,,,
Cottus_carolinae,Cottus,carolinae,34.91167,-83.86528,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7856,-83.8829,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7856,-83.8829,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78625,-83.883415,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78625,-83.88342,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78528,-83.88361,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7857,-83.8838,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7853,-83.8839,,,,,,
Cottus_carolinae,Cottus,carolinae,35.7853,-83.8839,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78556,-83.88416,,,,,,
Cottus_carolinae,Cottus,carolinae,35.78556,-83.88416,,,,,,
Cottus_carolinae,Cottus,carolinae,36.22282,-83.90472,,,,,,
Cottus_carolinae,Cottus,carolinae,36.222816,-83.90472,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4528,-83.9049,,,,,,
Cottus_carolinae,Cottus,carolinae,35.96028,-83.91278,,,,,,
Cottus_carolinae,Cottus,carolinae,35.8199,-83.9379,,,,,,
Cottus_carolinae,Cottus,carolinae,35.80222,-83.95222,,,,,,
Cottus_carolinae,Cottus,carolinae,36.065075,-83.95595,,,,,,
Cottus_carolinae,Cottus,carolinae,35.13194,-83.98473,,,,,,
Cottus_carolinae,Cottus,carolinae,34.56472,-83.99139,,,,,,
Cottus_carolinae,Cottus,carolinae,34.56472,-83.99139,,,,,,
Cottus_carolinae,Cottus,carolinae,36.19687,-83.9971,,,,,,
Cottus_carolinae,Cottus,carolinae,36.19687,-83.9971,,,,,,
Cottus_carolinae,Cottus,carolinae,34.53,-84.00694,,,,,,
Cottus_carolinae,Cottus,carolinae,36.15111,-84.02778,,,,,,
Cottus_carolinae,Cottus,carolinae,37.415,-84.0316,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3702,-84.0462,,,,,,
Cottus_carolinae,Cottus,carolinae,34.5347,-84.0634,,,,,,
Cottus_carolinae,Cottus,carolinae,35.9125,-84.07889,,,,,,
Cottus_carolinae,Cottus,carolinae,36.14167,-84.095,,,,,,
Cottus_carolinae,Cottus,carolinae,35.50806,-84.10472,,,,,,
Cottus_carolinae,Cottus,carolinae,36.125,-84.10639,,,,,,
Cottus_carolinae,Cottus,carolinae,36.125,-84.10639,,,,,,
Cottus_carolinae,Cottus,carolinae,36.125,-84.10639,,,,,,
Cottus_carolinae,Cottus,carolinae,36.125,-84.10639,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3211,-84.1373,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3211,-84.1373,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3264,-84.145,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3264,-84.145,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2941,-84.1852,,,,,,
Cottus_carolinae,Cottus,carolinae,34.4825,-84.20055,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2406,-84.2199,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2406,-84.2199,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1714,-84.2966,,,,,,
Cottus_carolinae,Cottus,carolinae,34.77917,-84.39194,,,,,,
Cottus_carolinae,Cottus,carolinae,34.7792,-84.3922,,,,,,
Cottus_carolinae,Cottus,carolinae,34.7792,-84.3922,,,,,,
Cottus_carolinae,Cottus,carolinae,34.65,-84.3954,,,,,,
Cottus_carolinae,Cottus,carolinae,34.64972,-84.39555,,,,,,
Cottus_carolinae,Cottus,carolinae,35.03083,-84.39889,,,,,,
Cottus_carolinae,Cottus,carolinae,34.76611,-84.40139,,,,,,
Cottus_carolinae,Cottus,carolinae,34.3106,-84.4033,,,,,,
Cottus_carolinae,Cottus,carolinae,34.3106,-84.4033,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3889,-84.4203,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3889,-84.4203,,,,,,
Cottus_carolinae,Cottus,carolinae,34.7792,-84.4353,,,,,,
Cottus_carolinae,Cottus,carolinae,34.7792,-84.4353,,,,,,
Cottus_carolinae,Cottus,carolinae,34.72361,-84.43555,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1524,-84.4382,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1517,-84.4384,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1517,-84.4384,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1514,-84.4386,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1514,-84.4386,,,,,,
Cottus_carolinae,Cottus,carolinae,34.7255,-84.4449,,,,,,
Cottus_carolinae,Cottus,carolinae,34.6675,-84.44778,,,,,,
Cottus_carolinae,Cottus,carolinae,34.6675,-84.44778,,,,,,
Cottus_carolinae,Cottus,carolinae,34.68361,-84.45389,,,,,,
Cottus_carolinae,Cottus,carolinae,34.68361,-84.45389,,,,,,
Cottus_carolinae,Cottus,carolinae,34.66917,-84.45639,,,,,,
Cottus_carolinae,Cottus,carolinae,34.52845,-84.50923,,,,,,
Cottus_carolinae,Cottus,carolinae,34.52845,-84.50923,,,,,,
Cottus_carolinae,Cottus,carolinae,34.52278,-84.52472,,,,,,
Cottus_carolinae,Cottus,carolinae,34.52278,-84.52472,,,,,,
